Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
BASEMENTAREA_MODE,2,"[0.08, 0.13)",24757,0.101,23078,1679,0.068,0.189,0.003,0.0,0.818,12.644
BASEMENTAREA_MODE,3,"[0.13, inf)",17981,0.073,16927,1054,0.059,0.345,0.008,0.001,0.818,18.339
BASEMENTAREA_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.818,5.726
BASEMENTAREA_MODE,5,Missing,144015,0.585,131188,12827,0.089,-0.107,0.007,0.001,0.818,1.828
YEARS_BEGINEXPLUATATION_MODE,0,"[-inf, 0.97)",17195,0.07,15755,1440,0.084,-0.039,0.0,0.0,-0.205,6.085
YEARS_BEGINEXPLUATATION_MODE,1,"[0.97, 0.98)",16569,0.067,15304,1265,0.076,0.061,0.0,0.0,-0.205,5.161
YEARS_BEGINEXPLUATATION_MODE,2,"[0.98, 0.98)",39770,0.162,36961,2809,0.071,0.145,0.003,0.0,-0.205,4.389
YEARS_BEGINEXPLUATATION_MODE,3,"[0.98, 0.99)",39003,0.159,36397,2606,0.067,0.205,0.006,0.001,-0.205,3.841
YEARS_BEGINEXPLUATATION_MODE,4,"[0.99, inf)",13390,0.054,12668,722,0.054,0.433,0.009,0.001,-0.205,1.744
YEARS_BEGINEXPLUATATION_MODE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.205,5.726
YEARS_BEGINEXPLUATATION_MODE,6,Missing,120081,0.488,109047,11034,0.092,-0.141,0.01,0.001,-0.205,7.02
YEARS_BUILD_MODE,0,"[-inf, 0.70)",20082,0.082,18527,1555,0.077,0.046,0.0,0.0,-0.482,4.731
YEARS_BUILD_MODE,1,"[0.70, 0.80)",32852,0.134,30591,2261,0.069,0.173,0.004,0.0,-0.482,1.991
YEARS_BUILD_MODE,2,"[0.80, 0.84)",13478,0.055,12578,900,0.067,0.206,0.002,0.0,-0.482,1.293
YEARS_BUILD_MODE,3,"[0.84, inf)",15913,0.065,14993,920,0.058,0.359,0.007,0.001,-0.482,-2.019
YEARS_BUILD_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.482,5.726
YEARS_BUILD_MODE,5,Missing,163683,0.665,149443,14240,0.087,-0.081,0.004,0.001,-0.482,7.466
COMMONAREA_MODE,0,"[-inf, 0.00)",15095,0.061,13964,1131,0.075,0.082,0.0,0.0,0.671,8.18
COMMONAREA_MODE,1,"[0.00, 0.01)",13675,0.056,12687,988,0.072,0.121,0.001,0.0,0.671,9.359
COMMONAREA_MODE,2,"[0.01, 0.03)",18976,0.077,17662,1314,0.069,0.167,0.002,0.0,0.671,10.73
COMMONAREA_MODE,3,"[0.03, 0.07)",13753,0.056,12843,910,0.066,0.216,0.002,0.0,0.671,12.194
COMMONAREA_MODE,4,"[0.07, inf)",12580,0.051,11826,754,0.06,0.321,0.005,0.001,0.671,15.362
COMMONAREA_MODE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.671,5.726
COMMONAREA_MODE,6,Missing,171929,0.699,157150,14779,0.086,-0.068,0.003,0.0,0.671,3.697
ELEVATORS_MODE,0,"[-inf, 0.02)",71468,0.291,66030,5438,0.076,0.065,0.001,0.0,0.543,7.307
ELEVATORS_MODE,1,"[0.02, 0.10)",13234,0.054,12407,827,0.062,0.277,0.004,0.0,0.543,12.445
ELEVATORS_MODE,2,"[0.10, 0.22)",15502,0.063,14604,898,0.058,0.357,0.007,0.001,0.543,14.404
ELEVATORS_MODE,3,"[0.22, inf)",14596,0.059,13823,773,0.053,0.452,0.01,0.001,0.543,16.71
ELEVATORS_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.543,5.726
ELEVATORS_MODE,5,Missing,131208,0.533,119268,11940,0.091,-0.13,0.01,0.001,0.543,2.565
ENTRANCES_MODE,0,"[-inf, 0.09)",37170,0.151,34273,2897,0.078,0.039,0.0,0.0,0.04,5.795
ENTRANCES_MODE,1,"[0.09, 0.12)",16426,0.067,15264,1162,0.071,0.144,0.001,0.0,0.04,5.981
ENTRANCES_MODE,2,"[0.12, 0.16)",28856,0.117,26902,1954,0.068,0.191,0.004,0.0,0.04,6.064
ENTRANCES_MODE,3,"[0.16, 0.22)",22919,0.093,21466,1453,0.063,0.261,0.006,0.001,0.04,6.189
ENTRANCES_MODE,4,"[0.22, inf)",16689,0.068,15647,1042,0.062,0.278,0.005,0.001,0.04,6.218
ENTRANCES_MODE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.04,5.726
ENTRANCES_MODE,6,Missing,123948,0.504,112580,11368,0.092,-0.139,0.01,0.001,0.04,5.48
FLOORSMAX_MODE,0,"[-inf, 0.15)",26354,0.107,24020,2334,0.089,-0.1,0.001,0.0,-0.267,6.923
FLOORSMAX_MODE,1,"[0.15, 0.23)",53609,0.218,49818,3791,0.071,0.144,0.004,0.001,-0.267,4.005
FLOORSMAX_MODE,2,"[0.23, 0.35)",28408,0.115,26680,1728,0.061,0.305,0.009,0.001,-0.267,2.081
FLOORSMAX_MODE,3,"[0.35, inf)",15105,0.061,14334,771,0.051,0.491,0.012,0.001,-0.267,-0.136
FLOORSMAX_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.267,5.726
FLOORSMAX_MODE,5,Missing,122532,0.498,111280,11252,0.092,-0.14,0.01,0.001,-0.267,7.399
FLOORSMIN_MODE,0,"[-inf, 0.19)",26832,0.109,24745,2087,0.078,0.041,0.0,0.0,0.833,7.266
FLOORSMIN_MODE,1,"[0.19, 0.23)",27485,0.112,25558,1927,0.07,0.153,0.002,0.0,0.833,11.445
FLOORSMIN_MODE,2,"[0.23, inf)",24737,0.101,23326,1411,0.057,0.374,0.012,0.001,0.833,19.659
FLOORSMIN_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.833,5.726
FLOORSMIN_MODE,4,Missing,166954,0.679,152503,14451,0.087,-0.075,0.004,0.0,0.833,2.923
LANDAREA_MODE,0,"[-inf, 0.00)",14514,0.059,13578,936,0.064,0.243,0.003,0.0,-0.263,2.872
LANDAREA_MODE,1,"[0.00, 0.02)",14189,0.058,13033,1156,0.081,-0.009,0.0,0.0,-0.263,5.833
LANDAREA_MODE,2,"[0.02, 0.04)",16349,0.066,15112,1237,0.076,0.071,0.0,0.0,-0.263,4.89
LANDAREA_MODE,3,"[0.04, 0.06)",13119,0.053,12175,944,0.072,0.125,0.001,0.0,-0.263,4.253
LANDAREA_MODE,4,"[0.06, 0.08)",13543,0.055,12618,925,0.068,0.181,0.002,0.0,-0.263,3.594
LANDAREA_MODE,5,"[0.08, 0.12)",15470,0.063,14463,1007,0.065,0.233,0.003,0.0,-0.263,2.989
LANDAREA_MODE,6,"[0.12, inf)",12695,0.052,11900,795,0.063,0.274,0.003,0.0,-0.263,2.504
LANDAREA_MODE,7,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.263,5.726
LANDAREA_MODE,8,Missing,146129,0.594,133253,12876,0.088,-0.095,0.006,0.001,-0.263,6.839
LIVINGAPARTMENTS_MODE,0,"[-inf, 0.04)",13304,0.054,12178,1126,0.085,-0.051,0.0,0.0,0.145,5.397
LIVINGAPARTMENTS_MODE,1,"[0.04, 0.09)",34070,0.138,31710,2360,0.069,0.166,0.004,0.0,0.145,6.808
LIVINGAPARTMENTS_MODE,2,"[0.09, 0.17)",18041,0.073,16912,1129,0.063,0.275,0.005,0.001,0.145,7.515
LIVINGAPARTMENTS_MODE,3,"[0.17, inf)",12397,0.05,11678,719,0.058,0.356,0.006,0.001,0.145,8.041
LIVINGAPARTMENTS_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.145,5.726
LIVINGAPARTMENTS_MODE,5,Missing,168196,0.684,153654,14542,0.086,-0.074,0.004,0.0,0.145,5.245
LIVINGAREA_MODE,0,"[-inf, 0.03)",23291,0.095,21203,2088,0.09,-0.114,0.001,0.0,-0.214,6.812
LIVINGAREA_MODE,1,"[0.03, 0.06)",21090,0.086,19553,1537,0.073,0.112,0.001,0.0,-0.214,4.659
LIVINGAREA_MODE,2,"[0.06, 0.07)",14067,0.057,13066,1001,0.071,0.137,0.001,0.0,-0.214,4.413
LIVINGAREA_MODE,3,"[0.07, 0.14)",36361,0.148,33954,2407,0.066,0.215,0.006,0.001,-0.214,3.671
LIVINGAREA_MODE,4,"[0.14, 0.22)",13190,0.054,12433,757,0.057,0.367,0.006,0.001,-0.214,2.217
LIVINGAREA_MODE,5,"[0.22, inf)",14422,0.059,13621,801,0.056,0.402,0.008,0.001,-0.214,1.885
LIVINGAREA_MODE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.214,5.726
LIVINGAREA_MODE,7,Missing,123587,0.502,112302,11285,0.091,-0.134,0.01,0.001,-0.214,7.006
NONLIVINGAPARTMENTS_MODE,0,"[-inf, 0.01)",58713,0.239,54640,4073,0.069,0.165,0.006,0.001,-0.212,4.165
NONLIVINGAPARTMENTS_MODE,1,"[0.01, inf)",16427,0.067,15334,1093,0.067,0.21,0.003,0.0,-0.212,3.741
NONLIVINGAPARTMENTS_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.212,5.726
NONLIVINGAPARTMENTS_MODE,3,Missing,170868,0.695,156158,14710,0.086,-0.069,0.003,0.0,-0.212,6.382
NONLIVINGAREA_MODE,0,"[-inf, 0.00)",54938,0.223,51008,3930,0.072,0.132,0.004,0.0,-1.251,-1.648
NONLIVINGAREA_MODE,1,"[0.00, 0.06)",41357,0.168,38525,2832,0.068,0.179,0.005,0.001,-1.251,-4.277
NONLIVINGAREA_MODE,2,"[0.06, inf)",13770,0.056,12934,836,0.061,0.307,0.005,0.001,-1.251,-11.479
NONLIVINGAREA_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.251,5.726
NONLIVINGAREA_MODE,4,Missing,135943,0.553,123665,12278,0.09,-0.122,0.009,0.001,-1.251,12.546
APARTMENTS_MEDI,0,"[-inf, 0.02)",15543,0.063,14115,1428,0.092,-0.141,0.001,0.0,0.452,2.885
APARTMENTS_MEDI,1,"[0.02, 0.05)",13234,0.054,12174,1060,0.08,0.009,0.0,0.0,0.452,5.917
APARTMENTS_MEDI,2,"[0.05, 0.09)",31101,0.126,28984,2117,0.068,0.185,0.004,0.001,0.452,9.467
APARTMENTS_MEDI,3,"[0.09, 0.10)",13263,0.054,12371,892,0.067,0.198,0.002,0.0,0.452,9.727
APARTMENTS_MEDI,4,"[0.10, 0.18)",26513,0.108,24796,1717,0.065,0.238,0.006,0.001,0.452,10.545
APARTMENTS_MEDI,5,"[0.18, inf)",21371,0.087,20145,1226,0.057,0.368,0.01,0.001,0.452,13.153
APARTMENTS_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.452,5.726
APARTMENTS_MEDI,7,Missing,124983,0.508,113547,11436,0.092,-0.136,0.01,0.001,0.452,2.975
BASEMENTAREA_MEDI,0,"[-inf, 0.03)",20473,0.083,18901,1572,0.077,0.055,0.0,0.0,-0.908,3.48
BASEMENTAREA_MEDI,1,"[0.03, 0.08)",36107,0.147,33491,2616,0.072,0.118,0.002,0.0,-0.908,0.929
BASEMENTAREA_MEDI,2,"[0.08, 0.13)",26621,0.108,24838,1783,0.067,0.202,0.004,0.001,-0.908,-2.503
BASEMENTAREA_MEDI,3,"[0.13, inf)",18792,0.076,17714,1078,0.057,0.368,0.009,0.001,-0.908,-9.215
BASEMENTAREA_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.908,5.726
BASEMENTAREA_MEDI,5,Missing,144015,0.585,131188,12827,0.089,-0.107,0.007,0.001,-0.908,10.056
YEARS_BEGINEXPLUATATION_MEDI,0,"[-inf, 0.97)",16348,0.066,14981,1367,0.084,-0.037,0.0,0.0,-0.957,7.33
YEARS_BEGINEXPLUATATION_MEDI,1,"[0.97, 0.98)",16144,0.066,14899,1245,0.077,0.051,0.0,0.0,-0.957,3.561
