Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
FONDKAPREMONT_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.17,5.726
FONDKAPREMONT_MODE,3,Missing,168286,0.684,153762,14524,0.086,-0.072,0.004,0.0,-0.17,6.273
HOUSETYPE_MODE,0,['block of flats' 'terraced house' 'specific housing'],122469,0.498,113878,8591,0.07,0.153,0.011,0.001,1.144,13.546
HOUSETYPE_MODE,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,1.144,5.726
HOUSETYPE_MODE,2,Missing,123539,0.502,112254,11285,0.091,-0.134,0.01,0.001,1.144,-1.148
TOTALAREA_MODE,0,"[-inf, 0.03)",23271,0.095,21153,2118,0.091,-0.13,0.002,0.0,-0.125,6.453
TOTALAREA_MODE,1,"[0.03, 0.06)",32478,0.132,30166,2312,0.071,0.137,0.002,0.0,-0.125,4.962
TOTALAREA_MODE,2,"[0.06, 0.09)",21989,0.089,20436,1553,0.071,0.146,0.002,0.0,-0.125,4.914
TOTALAREA_MODE,3,"[0.09, 0.15)",21502,0.087,20110,1392,0.065,0.239,0.005,0.001,-0.125,4.393
TOTALAREA_MODE,4,"[0.15, 0.22)",14527,0.059,13705,822,0.057,0.382,0.007,0.001,-0.125,3.594
TOTALAREA_MODE,5,"[0.22, inf)",13423,0.055,12698,725,0.054,0.431,0.008,0.001,-0.125,3.319
TOTALAREA_MODE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.125,5.726
TOTALAREA_MODE,7,Missing,118818,0.483,107864,10954,0.092,-0.144,0.011,0.001,-0.125,6.532
WALLSMATERIAL_MODE,0,['Monolithic' 'Panel'],54305,0.221,50861,3444,0.063,0.261,0.013,0.002,-0.241,2.91
WALLSMATERIAL_MODE,1,"['Block' 'Stone, brick' 'Mixed' 'Others' 'Wooden']",66524,0.27,61512,5012,0.075,0.076,0.002,0.0,-0.241,4.908
WALLSMATERIAL_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.241,5.726
WALLSMATERIAL_MODE,3,Missing,125179,0.509,113759,11420,0.091,-0.133,0.01,0.001,-0.241,7.16
EMERGENCYSTATE_MODE,0,['No' 'Yes'],129317,0.526,120232,9085,0.07,0.151,0.011,0.001,-0.339,3.431
EMERGENCYSTATE_MODE,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.339,5.726
EMERGENCYSTATE_MODE,2,Missing,116691,0.474,105900,10791,0.092,-0.148,0.011,0.001,-0.339,7.97
DEF_30_CNT_SOCIAL_CIRCLE,0,"[-inf, 0.50)",217142,0.883,200245,16897,0.078,0.041,0.001,0.0,-0.485,4.84
DEF_30_CNT_SOCIAL_CIRCLE,1,"[0.50, inf)",28061,0.114,25111,2950,0.105,-0.29,0.011,0.001,-0.485,12.028
DEF_30_CNT_SOCIAL_CIRCLE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.485,5.726
DEF_30_CNT_SOCIAL_CIRCLE,3,Missing,805,0.003,776,29,0.036,0.855,0.002,0.0,-0.485,-12.853
DEF_60_CNT_SOCIAL_CIRCLE,0,"[-inf, 0.50)",224620,0.913,207018,17602,0.078,0.033,0.001,0.0,-0.228,5.388
DEF_60_CNT_SOCIAL_CIRCLE,1,"[0.50, inf)",20583,0.084,18338,2245,0.109,-0.331,0.011,0.001,-0.228,9.106
DEF_60_CNT_SOCIAL_CIRCLE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.228,5.726
DEF_60_CNT_SOCIAL_CIRCLE,3,Missing,805,0.003,776,29,0.036,0.855,0.002,0.0,-0.228,-2.999
DAYS_LAST_PHONE_CHANGE,0,"[-inf, -2467.50)",14108,0.057,13372,736,0.052,0.468,0.01,0.001,-0.189,1.764
DAYS_LAST_PHONE_CHANGE,1,"[-2467.50, -2040.50)",15101,0.061,14231,870,0.058,0.363,0.007,0.001,-0.189,2.653
DAYS_LAST_PHONE_CHANGE,2,"[-2040.50, -1794.50)",14224,0.058,13350,874,0.061,0.295,0.004,0.001,-0.189,3.233
DAYS_LAST_PHONE_CHANGE,3,"[-1794.50, -1359.50)",34534,0.14,32316,2218,0.064,0.247,0.008,0.001,-0.189,3.632
DAYS_LAST_PHONE_CHANGE,4,"[-1359.50, -1122.50)",15425,0.063,14293,1132,0.073,0.104,0.001,0.0,-0.189,4.844
DAYS_LAST_PHONE_CHANGE,5,"[-1122.50, -955.50)",12363,0.05,11364,999,0.081,-0.0,0.0,0.0,-0.189,5.727
DAYS_LAST_PHONE_CHANGE,6,"[-955.50, -743.50)",18553,0.075,16974,1579,0.085,-0.057,0.0,0.0,-0.189,6.206
DAYS_LAST_PHONE_CHANGE,7,"[-743.50, -592.50)",17390,0.071,15788,1602,0.092,-0.144,0.002,0.0,-0.189,6.942
DAYS_LAST_PHONE_CHANGE,8,"[-592.50, -347.50)",32703,0.133,29684,3019,0.092,-0.146,0.003,0.0,-0.189,6.961
DAYS_LAST_PHONE_CHANGE,9,"[-347.50, inf)",71606,0.291,64759,6847,0.096,-0.185,0.011,0.001,-0.189,7.29
DAYS_LAST_PHONE_CHANGE,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.189,5.726
DAYS_LAST_PHONE_CHANGE,11,Missing,1,0.0,1,0,0.0,0.0,0.0,0.0,-0.189,5.726
FLAG_DOCUMENT_3,0,"[-inf, 0.50)",71371,0.29,66960,4411,0.062,0.288,0.021,0.003,-0.524,-1.031
FLAG_DOCUMENT_3,1,"[0.50, inf)",174637,0.71,159172,15465,0.089,-0.1,0.007,0.001,-0.524,8.074
FLAG_DOCUMENT_3,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.524,5.726
FLAG_DOCUMENT_3,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.524,5.726
FLAG_DOCUMENT_6,0,"[-inf, 0.50)",224353,0.912,205688,18665,0.083,-0.032,0.001,0.0,0.304,5.292
FLAG_DOCUMENT_6,1,"[0.50, inf)",21655,0.088,20444,1211,0.056,0.395,0.012,0.001,0.304,11.102
FLAG_DOCUMENT_6,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.304,5.726
FLAG_DOCUMENT_6,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.304,5.726
AMT_REQ_CREDIT_BUREAU_HOUR,0,"[-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.341,4.996
AMT_REQ_CREDIT_BUREAU_HOUR,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.341,5.726
AMT_REQ_CREDIT_BUREAU_HOUR,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.341,9.825
AMT_REQ_CREDIT_BUREAU_DAY,0,"[-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.341,4.996
AMT_REQ_CREDIT_BUREAU_DAY,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.341,5.726
AMT_REQ_CREDIT_BUREAU_DAY,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.341,9.825
AMT_REQ_CREDIT_BUREAU_WEEK,0,"[-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.341,4.996
AMT_REQ_CREDIT_BUREAU_WEEK,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.341,5.726
AMT_REQ_CREDIT_BUREAU_WEEK,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.341,9.825
AMT_REQ_CREDIT_BUREAU_MON,0,"[-inf, 0.50)",177793,0.723,163905,13888,0.078,0.037,0.001,0.0,-0.288,5.253
AMT_REQ_CREDIT_BUREAU_MON,1,"[0.50, inf)",35004,0.142,32441,2563,0.073,0.107,0.002,0.0,-0.288,4.35
AMT_REQ_CREDIT_BUREAU_MON,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.288,5.726
AMT_REQ_CREDIT_BUREAU_MON,3,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.288,9.194
AMT_REQ_CREDIT_BUREAU_QRT,0,"[-inf, 0.50)",172187,0.7,158648,13539,0.079,0.03,0.001,0.0,-0.732,4.76
AMT_REQ_CREDIT_BUREAU_QRT,1,"[0.50, 1.50)",27114,0.11,25326,1788,0.066,0.219,0.005,0.001,-0.732,-1.446
AMT_REQ_CREDIT_BUREAU_QRT,2,"[1.50, inf)",13496,0.055,12372,1124,0.083,-0.033,0.0,0.0,-0.732,6.808
AMT_REQ_CREDIT_BUREAU_QRT,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.732,5.726
AMT_REQ_CREDIT_BUREAU_QRT,4,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.732,14.52
AMT_REQ_CREDIT_BUREAU_YEAR,0,"[-inf, 0.50)",57459,0.234,53332,4127,0.072,0.127,0.004,0.0,-0.379,3.568
AMT_REQ_CREDIT_BUREAU_YEAR,1,"[0.50, 1.50)",50661,0.206,46921,3740,0.074,0.098,0.002,0.0,-0.379,4.07
AMT_REQ_CREDIT_BUREAU_YEAR,2,"[1.50, 3.50)",67066,0.273,61690,5376,0.08,0.009,0.0,0.0,-0.379,5.581
AMT_REQ_CREDIT_BUREAU_YEAR,3,"[3.50, 4.50)",16600,0.067,15243,1357,0.082,-0.013,0.0,0.0,-0.379,5.942
AMT_REQ_CREDIT_BUREAU_YEAR,4,"[4.50, inf)",21011,0.085,19160,1851,0.088,-0.095,0.001,0.0,-0.379,7.327
AMT_REQ_CREDIT_BUREAU_YEAR,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.379,5.726
AMT_REQ_CREDIT_BUREAU_YEAR,6,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.379,10.277
